,brand,model,price
0,Salomon,"
XT-6 Advaced Seaker i White
","<span class=""price--default is--nowrap"">
€175.00
</span>"
1,Hoka One One,"
M Clifto 8 Seaker i White
","<span class=""price--default is--nowrap"">
€140.00
</span>"
2,Nike,"
WMNS Air Force 1 Sculpt i White & Silver
","<span class=""price--default is--nowrap"">
€120.00
</span>"
3,Nike,"
WMNS Air Force 1 Sculpt i White & Red
","<span class=""price--default is--nowrap"">
€120.00
</span>"
4,Adidas,"
x Craig Gree Scuba Phormar Seaker i Gree
","<span class=""price--default is--nowrap"">
€250.00
</span>"
5,Nike,"
Be-do-wi SP Seaker i Black
","<span class=""price--default is--nowrap"">
€130.00
</span>"
6,New Balance,"
990 v4 'Made i USA' Seaker i Grey
","<span class=""price--default is--nowrap"">
€250.00
</span>"
7,New Balance,"
M 990 v3 'Made i USA' Seaker i Grey
","<span class=""price--default is--nowrap"">
€220.00
</span>"
8,New Balance,"
M 991 'Made i UK' Seaker i Silver & Grey
","<span class=""price--default is--nowrap"">
€190.00
</span>"
9,New Balance,"
W 991 'Made i UK' Seaker i Grey
","<span class=""price--default is--nowrap"">
€190.00
</span>"
10,New Balance,"
M 920 'Made i UK' Seaker i Navy & Burgudy
","<span class=""price--default is--nowrap"">
€220.00
</span>"
11,Acne Studios,"
N3W Trail Seaker i Matte Black
","<span class=""price--default is--nowrap"">
€340.00
</span>"
12,Acne Studios,"
N3W Trail Seaker i Black
","<span class=""price--default is--nowrap"">
€340.00
</span>"
13,Acne Studios,"
Mes Bolzter Bryz Crystal Seaker
","<span class=""price--default is--nowrap"">
€420.00
</span>"
14,Acne Studios,"
Womes Bolzter Bryz Crystal Seaker
","<span class=""price--default is--nowrap"">
€420.00
</span>"
15,Acne Studios,"
Womes N3W Trail Seaker i White
","<span class=""price--default is--nowrap"">
€340.00
</span>"
16,Nike,"
x Udercover Duk High '1985' Seaker i Gym Red
","<span class=""price--default is--nowrap"">
€150.00
</span>"
17,Nike,"
x PEACEMINUSONE Kwodo 1 Seaker i White (RAFFLE)
",
18,New Balance,"
M990 v5 'Made i USA' Seaker i Navy
","<span class=""price--default is--nowrap"">
€220.00
</span>"
19,New Balance,"
M990 v5 'Made i USA' Seaker i Black
","<span class=""price--default is--nowrap"">
€220.00
</span>"
20,New Balance,"
M990 v5 'Made i USA' Seaker i Grey
","<span class=""price--default is--nowrap"">
€220.00
</span>"
21,Converse,"
Chuck 70 Hi Seaker i Black
","<span class=""price--default is--nowrap"">
€90.00
</span>"
22,Converse,"
Ru Star Motio Hi Seaker i Black
","<span class=""price--default is--nowrap"">
€120.00
</span>"
23,Converse,"
Ru Star Motio Hi Seaker i Light Twie
","<span class=""price--default is--nowrap"">
€120.00
</span>"
24,Salomon,"
ACS PRO Advaced Seaker i Metal & Frost Gray
",
25,Nike,"
WMNS Lahar Low Seaker i Black
","<span class=""price--default is--nowrap"">
€130.00
</span>"
26,Nike,"
x sacai x KAWS Blazer Low Seaker i Purple Dusk
","<span class=""price--default is--nowrap"">
€140.00
</span>"
27,Nike,"
x sacai x KAWS Blazer Low Seaker i Neptue Blue
",
28,New Balance,"
990 v3 'Made i USA' Seaker i Navy
",
29,New Balance,"
990 v3 'Made i USA' Seaker i Grey
",
30,New Balance,"
990 v2 'Made i USA' Seaker i Grey & Gree
","<span class=""price--default is--nowrap"">
€220.00
</span>"
31,On,"
Me's Cloudveture Seaker i Cobble
","<span class=""price--default is--nowrap"">
€160.00
</span>"
32,On,"
Wome's Cloudrock Edge Raw Seaker i White
","<span class=""price--default is--nowrap"">
€240.00
</span>"
33,On,"
Me's Cloudveture Waterproof Seaker i Black
","<span class=""price--default is--nowrap"">
€180.00
</span>"
34,On,"
Me's Cloudveture Seaker i Black & Reseda
","<span class=""price--default is--nowrap"">
€160.00
</span>"
35,On,"
Wome's Cloudveture Waterproof Seaker i Black
","<span class=""price--default is--nowrap"">
€180.00
</span>"
36,On,"
Wome's Cloudveture Seaker i Black & Cobble
","<span class=""price--default is--nowrap"">
€160.00
</span>"
37,On,"
Wome's Cloudveture Seaker i Arctic
","<span class=""price--default is--nowrap"">
€160.00
</span>"
38,Mizuno,"
x Hajime Sorayama Wave Prophecy Seaker i Black
",
39,Nike,"
x Sacai x Udercover LDWaffle Seaker i Night...
",
40,Nike,"
x Sacai x Udercover LDWaffle Seaker i Black...
",
41,Nike,"
Air Force 1 Seaker i Summit White
",
42,Nike,"
Air Force 1 Seaker i Off Noir
",
43,Nike,"
WMNS Air Force 1 '07 Seaker i White
","<span class=""price--default is--nowrap"">
€110.00
</span>"
44,Nike,"
Air Force 1 Seaker i White
",
45,Nike,"
Air Force 1 '07 Craft Seaker i Sail & Beetroot
","<span class=""price--default is--nowrap"">
€120.00
</span>"
46,New Balance,"
M 991 'Made i UK' Seaker i Olive Gree
",
47,Nike,"
WMNS Duk Disrupt Low Seaker i Summit White
",
